"date","start_date","end_date","REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","OT","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS","YEAR_WEEK","prior_history_avg","prior_history_std","fact","preds"
"1997-12-29","1997-12-29","1998-01-04","National","X",1998,1,4.37398,3.59225,639,"X","759",810,"X",207,2415,254,67228,"1998-1",0.0,0.0,"1997-12-01: The United States government has published employment projections for 1996-2006.; 1997-12-08: The Kyoto Protocol was adopted on December 11, 1997, as an international agreement to reduce greenhouse gas emissions.; 1997-12-15: The Consumer Price Index (CPI) for All Urban Consumers (CPI-U) has annual average percent changes from 2019 to 2023.; 1997-12-22: The 1997 Asian financial crisis affected several countries, including those in Southeast Asia, and the US economy was recovering from a recession in the early 1990s.","NA;NA"
"1998-01-05","1998-01-05","1998-01-11","National","X",1998,2,4.19434,3.68922,690,"X","654",1121,"X",148,2613,255,70828,"1998-2",0.0,0.0,"1997-12-29: The United States had the largest gross domestic product (GDP) in the world throughout the Second World War, with a GDP of over 800 billion dollars in 1938.; 1998-01-05: The United States Council of Economic Advisers published an Economic Report in 1997.; 1998-01-12: The US economy and financial system are evolving rapidly in response to various factors, which have the potential to alter the economy significantly.; 1998-01-19: The Asian crisis has affected the economy, with countries in the region buying 19% of U.S. exports in 1996, up from 15% in 1990.","In the next few months, it is possible that the influenza season will peak, and the demand for influenza vaccines will increase. Public health authorities may need to work together to ensure adequate vaccine supply and distribution.;In the next 1-4 weeks, it is likely that the bird flu outbreak in Hong Kong will continue to be a concern, and public health authorities may take further measures to contain the spread of the virus."
"1998-01-12","1998-01-12","1998-01-18","National","X",1998,3,5.42123,4.60396,856,"X","679",1440,"X",151,3126,245,67898,"1998-3",0.0,0.0,"1997-12-29: The United States had the largest gross domestic product (GDP) in the world throughout the Second World War, with a GDP of over 800 billion dollars in 1938.; 1998-01-05: The United States Council of Economic Advisers published an Economic Report in 1997.; 1998-01-12: The US economy and financial system are evolving rapidly in response to various factors, which have the potential to alter the economy significantly.; 1998-01-19: The Asian crisis has affected the economy, with countries in the region buying 19% of U.S. exports in 1996, up from 15% in 1990.","Predictions you can make for the long-term future (next few months): It is likely that research on infectious diseases, including influenza, will continue to be a priority in the coming months.;Predictions you can make for the short-term future (next 1-4 weeks): NA"
"1998-01-19","1998-01-19","1998-01-25","National","X",1998,4,5.66137,4.91007,824,"X","817",1600,"X",196,3437,245,69999,"1998-4",0.0,0.0,"1997-12-29: The United States had the largest gross domestic product (GDP) in the world throughout the Second World War, with a GDP of over 800 billion dollars in 1938.; 1998-01-05: The United States Council of Economic Advisers published an Economic Report in 1997.; 1998-01-12: The US economy and financial system are evolving rapidly in response to various factors, which have the potential to alter the economy significantly.; 1998-01-19: The Asian crisis has affected the economy, with countries in the region buying 19% of U.S. exports in 1996, up from 15% in 1990.","Predictions you can make for the long-term future (next few months): The continued research into the influenza virus and its behavior may lead to the development of more effective vaccines and treatments . The impact of influenza on public health may decrease as more effective vaccines and treatments become available .;Predictions you can make for the short-term future (next 1-4 weeks): NA"
"1998-01-26","1998-01-26","1998-02-01","National","X",1998,5,5.97802,4.82687,881,"X","769",1471,"X",233,3354,239,69486,"1998-5",0.0,0.0,"1997-12-29: The United States had the largest gross domestic product (GDP) in the world throughout the Second World War, with a GDP of over 800 billion dollars in 1938.; 1998-01-05: The United States Council of Economic Advisers published an Economic Report in 1997.; 1998-01-12: The US economy and financial system are evolving rapidly in response to various factors, which have the potential to alter the economy significantly.; 1998-01-19: The Asian crisis has affected the economy, with countries in the region buying 19% of U.S. exports in 1996, up from 15% in 1990.","In the next few months, it is possible that the poultry industry will come under increased scrutiny for its role in environmental degradation and its potential impact on public health, including the spread of influenza.   Note: There is limited information available in the search results, and most of it is not directly related to public health and flu. The above summary is based on the few relevant points that could be gleaned from the search results.;In the next 1-4 weeks, it is likely that the CDC will continue to monitor the spread of the new strain of influenza and provide guidance on prevention and treatment."
"1998-02-02","1998-02-02","1998-02-08","National","X",1998,6,4.7358,3.9459,699,"X","671",1101,"X",146,2617,234,66322,"1998-6",0.0,0.0,"1998-01-26: The United States economy experienced a period of growth in the late 1990s, with only three quarters of negative real GDP growth in the past 15 years.; 1998-02-02: The U.S. economy had an annual rate of growth of productivity of about 2.4 percent during the post World War II era until 1973.; 1998-02-09: The U.S. economy expanded at a solid pace in 1997, with a GDP growth rate of 3.8% adjusted for inflation.; 1998-02-16: The United States had the Family and Medical Leave Act (FMLA) of 1993, which provided unpaid leave for certain family and medical reasons.","Predictions you can make for the long-term future (next few months):  Continued research and development of influenza vaccines and treatments may lead to improved public health outcomes in the future.;Predictions you can make for the short-term future (next 1-4 weeks):  NA"
"1998-02-09","1998-02-09","1998-02-15","National","X",1998,7,3.44581,3.1081,457,"X","523",849,"X",119,1948,223,62675,"1998-7",0.0,0.0,"1998-01-26: The United States economy experienced a period of growth in the late 1990s, with only three quarters of negative real GDP growth in the past 15 years.; 1998-02-02: The U.S. economy had an annual rate of growth of productivity of about 2.4 percent during the post World War II era until 1973.; 1998-02-09: The U.S. economy expanded at a solid pace in 1997, with a GDP growth rate of 3.8% adjusted for inflation.; 1998-02-16: The United States had the Family and Medical Leave Act (FMLA) of 1993, which provided unpaid leave for certain family and medical reasons.","In the long-term future, it is possible that better flu vaccines will be developed, leading to improved public health outcomes.;Based on the historical data, it is likely that influenza virus infection will continue to occur in the short-term future, especially during epidemics."
"1998-02-16","1998-02-16","1998-02-22","National","X",1998,8,2.47799,2.13953,313,"X","330",534,"X",112,1289,217,60247,"1998-8",0.0,0.0,"1998-01-26: The United States economy experienced a period of growth in the late 1990s, with only three quarters of negative real GDP growth in the past 15 years.; 1998-02-02: The U.S. economy had an annual rate of growth of productivity of about 2.4 percent during the post World War II era until 1973.; 1998-02-09: The U.S. economy expanded at a solid pace in 1997, with a GDP growth rate of 3.8% adjusted for inflation.; 1998-02-16: The United States had the Family and Medical Leave Act (FMLA) of 1993, which provided unpaid leave for certain family and medical reasons.","Predictions you can make for the long-term future (next few months):  Continued research and development of effective influenza virus vaccines and treatments are likely to be a priority in the long-term, with a focus on improving public health outcomes.;Predictions you can make for the short-term future (next 1-4 weeks):  NA"
"1998-02-23","1998-02-23","1998-03-01","National","X",1998,9,1.65732,1.43954,241,"X","214",308,"X",64,827,211,57449,"1998-9",0.0,0.0,"1998-01-26: The United States economy experienced a period of growth in the late 1990s, with only three quarters of negative real GDP growth in the past 15 years.; 1998-02-02: The U.S. economy had an annual rate of growth of productivity of about 2.4 percent during the post World War II era until 1973.; 1998-02-09: The U.S. economy expanded at a solid pace in 1997, with a GDP growth rate of 3.8% adjusted for inflation.; 1998-02-16: The United States had the Family and Medical Leave Act (FMLA) of 1993, which provided unpaid leave for certain family and medical reasons.","Predictions you can make for the long-term future (next few months): NA;Predictions you can make for the short-term future (next 1-4 weeks): NA"
"1998-03-02","1998-03-02","1998-03-08","National","X",1998,10,1.96952,1.47879,201,"X","183",305,"X",59,748,208,50582,"1998-10",0.0,0.0,"1998-02-23: As of 1998, the US economy was doing well, with Janet Yellen and Gene Sperling highlighting the success of the American economy and outlining positive consumer numbers.; 1998-03-02: The United States had robust growth of output and employment in 1998, with strong consumer spending and investment, and high consumer confidence.; 1998-03-09: The economic and personal health costs of overweight and obesity in the United States are enormous and compromise the health of the nation.; 1998-03-16: The US economy was experiencing economic growth in the late 1990s, with California being a significant contributor to the country's economic growth.; 1998-03-23: The U.S. had imposed sanctions on Burma in 1998, which harmed American economic interests and did not improve the living conditions or human rights in Burma.","Predictions you can make for the long-term future (next few months): NA (The provided information is from 1998 and does not provide a basis for making predictions about the current or long-term future.);Predictions you can make for the short-term future (next 1-4 weeks): NA (The provided information is from 1998 and does not provide a basis for making predictions about the current or short-term future.)"
"1998-03-09","1998-03-09","1998-03-15","National","X",1998,11,1.58545,1.08556,162,"X","123",249,"X",51,585,200,53889,"1998-11",0.0,0.0,"1998-02-23: As of 1998, the US economy was doing well, with Janet Yellen and Gene Sperling highlighting the success of the American economy and outlining positive consumer numbers.; 1998-03-02: The United States had robust growth of output and employment in 1998, with strong consumer spending and investment, and high consumer confidence.; 1998-03-09: The economic and personal health costs of overweight and obesity in the United States are enormous and compromise the health of the nation.; 1998-03-16: The US economy was experiencing economic growth in the late 1990s, with California being a significant contributor to the country's economic growth.; 1998-03-23: The U.S. had imposed sanctions on Burma in 1998, which harmed American economic interests and did not improve the living conditions or human rights in Burma.","NA;NA"
"1998-03-16","1998-03-16","1998-03-22","National","X",1998,12,1.80474,0.997967,156,"X","93",196,"X",41,486,177,48699,"1998-12",0.0,0.0,"1998-02-23: As of 1998, the US economy was doing well, with Janet Yellen and Gene Sperling highlighting the success of the American economy and outlining positive consumer numbers.; 1998-03-02: The United States had robust growth of output and employment in 1998, with strong consumer spending and investment, and high consumer confidence.; 1998-03-09: The economic and personal health costs of overweight and obesity in the United States are enormous and compromise the health of the nation.; 1998-03-16: The US economy was experiencing economic growth in the late 1990s, with California being a significant contributor to the country's economic growth.; 1998-03-23: The U.S. had imposed sanctions on Burma in 1998, which harmed American economic interests and did not improve the living conditions or human rights in Burma.","Predictions you can make for the long-term future (next few months): The development of new treatments and vaccines for influenza could lead to a reduction in influenza cases and improved public health outcomes in the long term .;Predictions you can make for the short-term future (next 1-4 weeks): NA"
"1998-03-23","1998-03-23","1998-03-29","National","X",1998,13,1.04624,0.744205,90,"X","92",144,"X",32,358,182,48105,"1998-13",0.0,0.0,"1998-02-23: As of 1998, the US economy was doing well, with Janet Yellen and Gene Sperling highlighting the success of the American economy and outlining positive consumer numbers.; 1998-03-02: The United States had robust growth of output and employment in 1998, with strong consumer spending and investment, and high consumer confidence.; 1998-03-09: The economic and personal health costs of overweight and obesity in the United States are enormous and compromise the health of the nation.; 1998-03-16: The US economy was experiencing economic growth in the late 1990s, with California being a significant contributor to the country's economic growth.; 1998-03-23: The U.S. had imposed sanctions on Burma in 1998, which harmed American economic interests and did not improve the living conditions or human rights in Burma.","NA;NA"
"1998-03-30","1998-03-30","1998-04-05","National","X",1998,14,1.4004,0.856631,82,"X","93",152,"X",41,368,170,42959,"1998-14",0.0,0.0,"1998-02-23: As of 1998, the US economy was doing well, with Janet Yellen and Gene Sperling highlighting the success of the American economy and outlining positive consumer numbers.; 1998-03-02: The United States had robust growth of output and employment in 1998, with strong consumer spending and investment, and high consumer confidence.; 1998-03-09: The economic and personal health costs of overweight and obesity in the United States are enormous and compromise the health of the nation.; 1998-03-16: The US economy was experiencing economic growth in the late 1990s, with California being a significant contributor to the country's economic growth.; 1998-03-23: The U.S. had imposed sanctions on Burma in 1998, which harmed American economic interests and did not improve the living conditions or human rights in Burma.","In the long-term, the development and implementation of effective vaccines may be necessary to control and prevent EIV outbreaks, especially in regions where the disease is endemic.;In the short-term, it is likely that EIV outbreaks will continue to occur in these regions, potentially spreading to other areas."
"1998-04-06","1998-04-06","1998-04-12","National","X",1998,15,0.79687,0.621737,64,"X","73",106,"X",19,262,156,42140,"1998-15",0.0,0.0,"1998-03-30: The United States had a strong economy in 1998, with almost 2.75 million jobs created in 1997, which is about 425,000 more than were created in 1996 .; 1998-04-06: The state of the economy in California and the US improved dramatically during World War II as the defense industry grew.; 1998-04-13: The United States economy has been experiencing economic expansion, celebrating seven years of growth as of 1998.; 1998-04-20: The United States was implementing the Partnership for Economic Growth and Opportunity and working with Congress to pass the African Growth and Opportunity Act in 1998.","Long-term predictions (next few months): NA;Short-term predictions (next 1-4 weeks): NA"
"1998-04-13","1998-04-13","1998-04-19","National","X",1998,16,0.717097,0.670954,82,"X","68",100,"X",15,265,155,39496,"1998-16",0.0,0.0,"1998-03-30: The United States had a strong economy in 1998, with almost 2.75 million jobs created in 1997, which is about 425,000 more than were created in 1996 .; 1998-04-06: The state of the economy in California and the US improved dramatically during World War II as the defense industry grew.; 1998-04-13: The United States economy has been experiencing economic expansion, celebrating seven years of growth as of 1998.; 1998-04-20: The United States was implementing the Partnership for Economic Growth and Opportunity and working with Congress to pass the African Growth and Opportunity Act in 1998.","In the next few months, it is possible that new guidelines or recommendations will be issued regarding Vitamin C intake and influenza vaccination, especially for older adults.   Note: The other search results were not relevant to predicting Pulic Health and FLU, so they were discarded.;In the next 1-4 weeks, it is likely that public health officials will continue to monitor flu outbreaks and vaccination efforts, potentially leading to increased awareness and education campaigns."
"1998-04-20","1998-04-20","1998-04-26","National","X",1998,17,1.00238,0.694082,58,"X","61",120,"X",27,266,148,38324,"1998-17",0.0,0.0,"1998-03-30: The United States had a strong economy in 1998, with almost 2.75 million jobs created in 1997, which is about 425,000 more than were created in 1996 .; 1998-04-06: The state of the economy in California and the US improved dramatically during World War II as the defense industry grew.; 1998-04-13: The United States economy has been experiencing economic expansion, celebrating seven years of growth as of 1998.; 1998-04-20: The United States was implementing the Partnership for Economic Growth and Opportunity and working with Congress to pass the African Growth and Opportunity Act in 1998.","In the long-term future (next few months), it is possible that new strains of influenza and other infectious diseases may emerge, potentially leading to outbreaks and epidemics.   Note: The provided search results do not contain recent or current information about public health and flu, but rather a collection of academic articles and publications from 1998. Therefore, the analysis and predictions are limited to general insights and opinions based on the provided information.;In the short-term future (next 1-4 weeks), it is likely that influenza and other viral infections will continue to spread, particularly in areas with high population density and poor sanitation."
"1998-04-27","1998-04-27","1998-05-03","National","X",1998,18,0.908403,0.583457,39,"X","64",93,"X",13,209,136,35821,"1998-18",0.0,0.0,"1998-03-30: The United States had a strong economy in 1998, with almost 2.75 million jobs created in 1997, which is about 425,000 more than were created in 1996 .; 1998-04-06: The state of the economy in California and the US improved dramatically during World War II as the defense industry grew.; 1998-04-13: The United States economy has been experiencing economic expansion, celebrating seven years of growth as of 1998.; 1998-04-20: The United States was implementing the Partnership for Economic Growth and Opportunity and working with Congress to pass the African Growth and Opportunity Act in 1998.","NA;NA"
"1998-05-04","1998-05-04","1998-05-10","National","X",1998,19,0.443014,0.57764,79,"X","37",61,"X",9,186,131,32200,"1998-19",0.0,0.0,"1998-04-27: The Federal Reserve Bank of New York reported that the GDP of the United States was little changed from 63 percent at the peak of the bubble economy.; 1998-05-04: The United States has a free economy that is open to new dangers and opportunities.; 1998-05-11: The economic costs of alcohol and drug abuse in the United States in 1992 were estimated to be $246 billion, which represents $965 for every man, woman, and child living in the United States.; 1998-05-18: The United States possesses the world's strongest military and its largest national economy.; 1998-05-25: The literature on the union wage effect is one of the most-studied questions in the history of labor economics.","In the long term, research into the mechanisms of protection against influenza may lead to the development of more effective vaccines and treatments, potentially reducing the incidence and severity of influenza outbreaks.   Note: There is limited information in the provided search results that is directly relevant to predicting public health and flu trends. The results appear to be mostly focused on specific research studies and articles from 1998, rather than providing current data or trends.;In the next 1-4 weeks, it is likely that public health authorities will continue to monitor influenza outbreaks and implement measures to prevent the spread of the virus."
"1998-05-11","1998-05-11","1998-05-17","National","X",1998,20,0.638986,0.605216,54,"X","40",52,"X",19,165,120,27263,"1998-20",0.0,0.0,"1998-04-27: The Federal Reserve Bank of New York reported that the GDP of the United States was little changed from 63 percent at the peak of the bubble economy.; 1998-05-04: The United States has a free economy that is open to new dangers and opportunities.; 1998-05-11: The economic costs of alcohol and drug abuse in the United States in 1992 were estimated to be $246 billion, which represents $965 for every man, woman, and child living in the United States.; 1998-05-18: The United States possesses the world's strongest military and its largest national economy.; 1998-05-25: The literature on the union wage effect is one of the most-studied questions in the history of labor economics.","NA;NA"
"1998-05-18","1998-05-18","1998-05-24","National","X",1998,21,0.0,0.0,0,"0","0",0,"0",0,0,0,0,"1998-21",0.0,0.0,"1998-04-27: The Federal Reserve Bank of New York reported that the GDP of the United States was little changed from 63 percent at the peak of the bubble economy.; 1998-05-04: The United States has a free economy that is open to new dangers and opportunities.; 1998-05-11: The economic costs of alcohol and drug abuse in the United States in 1992 were estimated to be $246 billion, which represents $965 for every man, woman, and child living in the United States.; 1998-05-18: The United States possesses the world's strongest military and its largest national economy.; 1998-05-25: The literature on the union wage effect is one of the most-studied questions in the history of labor economics.","Predictions you can make for the long-term future (next few months): It is likely that the research and surveillance efforts in 1998 will lead to improvements in influenza diagnosis, treatment, and prevention in the following months .;Predictions you can make for the short-term future (next 1-4 weeks): NA"
